,Unnamed: 0,Date Occurred,Time Occurred,Area Name,Reporting District,Crime Code Description,Victim Age,Victim Sex,Victim Descent,Premise Description,Location ,Month,Day,Year,Lat,Lon,Datetime,Daily Max Temp
3865,999661,06/09/2015,840,Central,156,ARSON,54.0,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0446, -118.245)",6,9,2015,34.0446,-118.245,2015-06-09,31.5
3879,999675,06/09/2015,10,Central,111,ARSON,24.0,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0617, -118.2469)",6,9,2015,34.0617,-118.2469,2015-06-09,31.8
4012,999823,06/15/2015,1620,Central,153,PICKPOCKET,19.0,F,W,SIDEWALK,"(34.0481, -118.2507)",6,15,2015,34.0481,-118.2507,2015-06-15,27.8
4088,999905,06/18/2015,2030,Central,148,KIDNAPPING,27.0,F,W,STREET,"(34.0421, -118.2405)",6,18,2015,34.0421,-118.2405,2015-06-18,31.0
4536,1000419,07/06/2015,300,Central,154,KIDNAPPING,28.0,M,H,STAIRWELL*,"(34.0467, -118.2485)",7,6,2015,34.0467,-118.2485,2015-07-06,26.3
4705,1000610,07/14/2015,1245,Central,195,CRIMINAL HOMICIDE,55.0,M,H,STREET,"(34.0319, -118.2594)",7,14,2015,34.0319,-118.2594,2015-07-14,28.3
5025,1000970,07/27/2015,1925,Central,135,THROWING OBJECT AT MOVING VEHICLE,51.0,F,A,STREET,"(34.0503, -118.247)",7,27,2015,34.0503,-118.247,2015-07-27,29.1
5026,1000971,07/27/2015,1925,Central,135,THROWING OBJECT AT MOVING VEHICLE,33.0,M,O,STREET,"(34.0503, -118.247)",7,27,2015,34.0503,-118.247,2015-07-27,29.1
5027,1000972,07/27/2015,1925,Central,135,THROWING OBJECT AT MOVING VEHICLE,27.0,M,A,STREET,"(34.0503, -118.247)",7,27,2015,34.0503,-118.247,2015-07-27,29.1
5067,1001015,07/29/2015,1245,Central,146,PICKPOCKET,62.0,M,B,SIDEWALK,"(34.0461, -118.2461)",7,29,2015,34.0461,-118.2461,2015-07-29,29.9
5119,1001071,07/29/2015,1700,Central,157,KIDNAPPING,41.0,F,B,SIDEWALK,"(34.0417, -118.2443)",7,29,2015,34.0417,-118.2443,2015-07-29,29.9
5266,1001247,08/06/2015,1630,Central,156,ARSON,31.0,M,H,NURSING/CONVALESCENT/RETIREMENT HOME,"(34.0437, -118.2455)",8,6,2015,34.0437,-118.2455,2015-08-06,31.8
5273,1001256,08/06/2015,2240,Central,162,PICKPOCKET,27.0,F,W,SIDEWALK,"(34.0487, -118.2588)",8,6,2015,34.0487,-118.2588,2015-08-06,31.0
5362,1001362,08/11/2015,144,Central,147,CRIMINAL HOMICIDE,60.0,M,B,SIDEWALK,"(34.0453, -118.2443)",8,11,2015,34.0453,-118.2443,2015-08-11,27.9
5961,1002047,09/05/2015,1840,Central,192,KIDNAPPING,43.0,F,W,FREEWAY,"(34.0363, -118.2672)",9,5,2015,34.0363,-118.2672,2015-09-05,28.2
5976,1002064,06/06/2015,1300,Central,161,PICKPOCKET,24.0,M,W,SIDEWALK,"(34.0483, -118.2631)",6,6,2015,34.0483,-118.2631,2015-06-06,23.3
6041,1002140,09/08/2015,900,Central,158,THROWING OBJECT AT MOVING VEHICLE,54.0,M,B,STREET,"(34.0395, -118.2405)",9,8,2015,34.0395,-118.2405,2015-09-08,36.6
6105,1002210,09/11/2015,1040,Central,153,PICKPOCKET,19.0,M,A,MTA BUS,"(34.0474, -118.2531)",9,11,2015,34.0474,-118.2531,2015-09-11,33.3
6113,1002219,09/11/2015,1830,Central,122,PICKPOCKET,20.0,F,A,PARK/PLAYGROUND,"(34.057, -118.2476)",9,11,2015,34.057,-118.2476,2015-09-11,35.5
6804,1003029,10/11/2015,100,Central,162,PICKPOCKET,27.0,F,H,NIGHT CLUB (OPEN EVENINGS ONLY),"(34.0462, -118.2585)",10,11,2015,34.0462,-118.2585,2015-10-11,35.7
6890,1003127,10/14/2015,2030,Central,192,KIDNAPPING,23.0,F,W,STREET,"(34.0386, -118.2694)",10,14,2015,34.0386,-118.2694,2015-10-14,28.0
6910,1003147,10/15/2015,1200,Central,153,PICKPOCKET,70.0,M,H,SIDEWALK,"(34.0467, -118.252)",10,15,2015,34.0467,-118.252,2015-10-15,25.0
7185,1003460,10/28/2015,335,Central,144,PICKPOCKET,41.0,M,H,SIDEWALK,"(34.0485, -118.2478)",10,28,2015,34.0485,-118.2478,2015-10-28,28.2
7263,1003548,10/30/2015,1950,Central,157,ARSON,43.0,M,B,STREET,"(34.0417, -118.2443)",10,30,2015,34.0417,-118.2443,2015-10-30,30.4
7341,1003632,11/01/2015,145,Central,164,PICKPOCKET,24.0,F,H,OTHER BUSINESS,"(34.046, -118.2509)",11,1,2015,34.046,-118.2509,2015-11-01,28.7
7384,1003681,11/03/2015,1630,Central,133,PICKPOCKET,24.0,M,W,SIDEWALK,"(34.051, -118.248)",11,3,2015,34.051,-118.248,2015-11-03,19.4
7409,1003710,11/04/2015,1614,Central,174,CRIMINAL HOMICIDE,42.0,M,H,OTHER BUSINESS,"(34.0439, -118.2514)",11,4,2015,34.0439,-118.2514,2015-11-04,20.2
7426,1003727,11/04/2015,1735,Central,118,THROWING OBJECT AT MOVING VEHICLE,58.0,F,H,STREET,"(34.0663, -118.2302)",11,4,2015,34.0663,-118.2302,2015-11-04,20.8
7570,1003894,11/10/2015,2020,Central,119,PICKPOCKET,40.0,M,O,TRAIN DEPOT,"(34.0563, -118.2374)",11,10,2015,34.0563,-118.2374,2015-11-10,19.3
7683,1004025,11/17/2015,215,Central,146,KIDNAPPING,61.0,M,A,STREET,"(34.0467, -118.247)",11,17,2015,34.0467,-118.247,2015-11-17,23.3
7752,1004104,11/18/2015,100,Central,182,KIDNAPPING,25.0,M,B,STREET,"(34.0444, -118.2628)",11,18,2015,34.0444,-118.2628,2015-11-18,24.9
7932,1004300,11/27/2015,500,Central,157,ARSON,14.0,M,X,STREET,"(34.0442, -118.2439)",11,27,2015,34.0442,-118.2439,2015-11-27,16.1
7940,1004310,11/28/2015,1248,Central,181,PICKPOCKET,53.0,M,W,CONVENTION CENTER,"(34.0431, -118.2692)",11,28,2015,34.0431,-118.2692,2015-11-28,16.6
8010,1004393,12/02/2015,1500,Central,152,ARSON,21.0,M,B,SIDEWALK,"(34.0495, -118.2529)",12,2,2015,34.0495,-118.2529,2015-12-02,24.3
