,Unnamed: 0,Date Occurred,Time Occurred,Area Name,Reporting District,Crime Code Description,Victim Age,Victim Sex,Victim Descent,Premise Description,Location ,Month,Day,Year,Lat,Lon,Datetime,Daily Max Temp
139809,1161752,12/13/2015,341,Devonshire,1713,ARSON,55.0,M,W,SINGLE FAMILY DWELLING,"(34.2781, -118.54)",12,13,2015,34.2781,-118.54,2015-12-13,15.3
140113,1162162,12/24/2015,1500,Devonshire,1796,ARSON,50.0,M,H,ELEMENTARY SCHOOL,"(34.2267, -118.4982)",12,24,2015,34.2267,-118.4982,2015-12-24,14.6
140297,1162384,03/13/2015,2040,Southeast,1829,CRIMINAL HOMICIDE,51.0,M,B,STREET,"(33.9439, -118.2346)",3,13,2015,33.9439,-118.2346,2015-03-13,31.9
140512,1162622,07/30/2015,1915,Southeast,1844,ARSON,14.0,F,B,"VEHICLE, PASSENGER/TRUCK","(33.9345, -118.2623)",7,30,2015,33.9345,-118.2623,2015-07-30,30.6
140528,1162638,08/13/2015,1615,Southeast,1832,KIDNAPPING,27.0,F,H,YARD (RESIDENTIAL/BUSINESS),"(33.941, -118.2805)",8,13,2015,33.941,-118.2805,2015-08-13,34.3
140753,1162883,12/29/2015,1805,Southeast,1864,CRIMINAL HOMICIDE,23.0,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(33.9237, -118.2597)",12,29,2015,33.9237,-118.2597,2015-12-29,14.8
140770,1162901,01/02/2015,555,Southeast,1804,KIDNAPPING,38.0,M,H,SIDEWALK,"(33.9602, -118.2564)",1,2,2015,33.9602,-118.2564,2015-01-02,13.9
140812,1162950,01/04/2015,1900,Southeast,1821,CRIMINAL HOMICIDE,28.0,M,H,GAS STATION,"(33.9464, -118.2869)",1,4,2015,33.9464,-118.2869,2015-01-04,18.5
140910,1163077,01/11/2015,1534,Southeast,1821,THROWING OBJECT AT MOVING VEHICLE,60.0,M,H,STREET,"(33.9455, -118.2916)",1,11,2015,33.9455,-118.2916,2015-01-11,16.2
140927,1163098,01/12/2015,300,Southeast,1862,CRIMINAL HOMICIDE,38.0,M,B,DRIVEWAY,"(33.9237, -118.2717)",1,12,2015,33.9237,-118.2717,2015-01-12,17.7
141303,1163522,01/29/2015,1700,Southeast,1834,CRIMINAL HOMICIDE,15.0,M,B,STREET,"(33.941, -118.2652)",1,29,2015,33.941,-118.2652,2015-01-29,21.8
141325,1163549,01/30/2015,1730,Southeast,1842,CRIMINAL HOMICIDE,16.0,M,H,SIDEWALK,"(33.9329, -118.2826)",1,30,2015,33.9329,-118.2826,2015-01-30,19.9
141516,1163774,02/09/2015,2150,Southeast,1806,CRIMINAL HOMICIDE,52.0,M,B,SIDEWALK,"(33.9556, -118.2564)",2,9,2015,33.9556,-118.2564,2015-02-09,23.1
141581,1163853,02/13/2015,341,Southeast,1835,CRIMINAL HOMICIDE,39.0,M,B,YARD (RESIDENTIAL/BUSINESS),"(33.9397, -118.253)",2,13,2015,33.9397,-118.253,2015-02-13,28.8
141715,1164012,02/19/2015,2350,Southeast,1841,ARSON,29.0,F,H,"VEHICLE, PASSENGER/TRUCK","(33.9424, -118.2869)",2,19,2015,33.9424,-118.2869,2015-02-19,21.0
141721,1164018,02/20/2015,1010,Southeast,1805,CRIMINAL HOMICIDE,40.0,M,H,STREET,"(33.9538, -118.2673)",2,20,2015,33.9538,-118.2673,2015-02-20,20.5
141792,1164104,02/23/2015,1205,Southeast,1802,ARSON,29.0,M,H,PARKING LOT,"(33.9565, -118.2761)",2,23,2015,33.9565,-118.2761,2015-02-23,15.5
141865,1164183,02/25/2015,2355,Southeast,1846,ARSON,26.0,F,B,"VEHICLE, PASSENGER/TRUCK","(33.931, -118.2542)",2,25,2015,33.931,-118.2542,2015-02-25,20.6
142054,1164409,03/07/2015,2140,Southeast,1831,CRIMINAL HOMICIDE,39.0,M,B,YARD (RESIDENTIAL/BUSINESS),"(33.9188, -118.283)",3,7,2015,33.9188,-118.283,2015-03-07,27.1
142057,1164412,03/08/2015,130,Southeast,1846,KIDNAPPING,14.0,F,O,STREET,"(33.9331, -118.2542)",3,8,2015,33.9331,-118.2542,2015-03-08,23.3
142094,1164455,03/09/2015,1655,Southeast,1832,CRIMINAL HOMICIDE,28.0,M,B,STREET,"(33.9411, -118.2717)",3,9,2015,33.9411,-118.2717,2015-03-09,22.5
142173,1164548,03/12/2015,1640,Southeast,1821,CRIMINAL HOMICIDE,27.0,M,B,PARKING LOT,"(33.9455, -118.2848)",3,12,2015,33.9455,-118.2848,2015-03-12,29.4
142200,1164582,03/13/2015,2130,Southeast,1844,ARSON,22.0,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(33.9374, -118.2695)",3,13,2015,33.9374,-118.2695,2015-03-13,31.7
142241,1164629,03/15/2015,1030,Southeast,1805,KIDNAPPING,30.0,M,H,DRIVEWAY,"(33.9529, -118.2717)",3,15,2015,33.9529,-118.2717,2015-03-15,32.3
142264,1164654,03/16/2015,2235,Southeast,1844,ARSON,65.0,M,B,SINGLE FAMILY DWELLING,"(33.9348, -118.2652)",3,16,2015,33.9348,-118.2652,2015-03-16,30.2
142562,1165000,03/26/2015,3,Southeast,1827,ARSON,49.0,M,B,STREET,"(33.9533, -118.2351)",3,26,2015,33.9533,-118.2351,2015-03-26,33.1
142564,1165002,03/27/2015,445,Southeast,1827,THROWING OBJECT AT MOVING VEHICLE,28.0,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(33.9449, -118.2415)",3,27,2015,33.9449,-118.2415,2015-03-27,31.1
142586,1165024,03/28/2015,1645,Southeast,1827,PICKPOCKET,32.0,M,O,STREET,"(33.9432, -118.2425)",3,28,2015,33.9432,-118.2425,2015-03-28,27.5
142592,1165030,03/29/2015,532,Southeast,1802,ARSON,25.0,F,B,STREET,"(33.9538, -118.2739)",3,29,2015,33.9538,-118.2739,2015-03-29,27.0
142794,1165263,04/06/2015,2045,Southeast,1821,CRIMINAL HOMICIDE,18.0,M,B,DRIVEWAY,"(33.9446, -118.2893)",4,6,2015,33.9446,-118.2893,2015-04-06,17.6
142949,1165438,04/12/2015,2150,Southeast,1806,CRIMINAL HOMICIDE,50.0,M,H,ALLEY,"(33.9543, -118.2564)",4,12,2015,33.9543,-118.2564,2015-04-12,24.8
143005,1165505,04/15/2015,2000,Southeast,1851,KIDNAPPING,23.0,F,B,"VEHICLE, PASSENGER/TRUCK","(33.9128, -118.2869)",4,15,2015,33.9128,-118.2869,2015-04-15,27.3
143030,1165534,04/16/2015,1110,Southeast,1802,CRIMINAL HOMICIDE,39.0,M,B,STREET,"(33.9547, -118.2782)",4,16,2015,33.9547,-118.2782,2015-04-16,27.2
143063,1165572,04/17/2015,1945,Southeast,1824,ARSON,69.0,F,B,PARKING LOT,"(33.9483, -118.2652)",4,17,2015,33.9483,-118.2652,2015-04-17,26.5
143288,1165834,04/27/2015,1420,Southeast,1822,THROWING OBJECT AT MOVING VEHICLE,38.0,F,B,STREET,"(33.9469, -118.2772)",4,27,2015,33.9469,-118.2772,2015-04-27,28.8
143369,1165927,04/17/2015,2156,Southeast,1824,ARSON,36.0,M,H,SINGLE FAMILY DWELLING,"(33.9532, -118.2564)",4,17,2015,33.9532,-118.2564,2015-04-17,27.9
143553,1166152,05/08/2015,1145,Southeast,1837,THROWING OBJECT AT MOVING VEHICLE,51.0,F,H,STREET,"(33.9432, -118.2462)",5,8,2015,33.9432,-118.2462,2015-05-08,15.9
143565,1166166,05/09/2015,1040,Southeast,1837,ARSON,15.0,F,B,STREET,"(33.9371, -118.2405)",5,9,2015,33.9371,-118.2405,2015-05-09,18.0
143652,1166284,05/13/2015,1650,Southeast,1863,THROWING OBJECT AT MOVING VEHICLE,34.0,M,H,STREET,"(33.9312, -118.2695)",5,13,2015,33.9312,-118.2695,2015-05-13,20.4
144378,1167133,06/12/2015,540,Southeast,1804,KIDNAPPING,18.0,F,B,STREET,"(33.9602, -118.2586)",6,12,2015,33.9602,-118.2586,2015-06-12,24.5
144432,1167198,06/14/2015,235,Southeast,1861,CRIMINAL HOMICIDE,31.0,F,B,SIDEWALK,"(33.9298, -118.287)",6,14,2015,33.9298,-118.287,2015-06-14,25.1
144787,1167626,06/28/2015,1900,Southeast,1849,KIDNAPPING,28.0,F,H,STREET,"(33.9334, -118.2335)",6,28,2015,33.9334,-118.2335,2015-06-28,29.9
145055,1167945,07/08/2015,2325,Southeast,1822,CRIMINAL HOMICIDE,51.0,M,B,STREET,"(33.9456, -118.2781)",7,8,2015,33.9456,-118.2781,2015-07-08,24.7
145136,1168038,07/11/2015,700,Southeast,1821,ARSON,25.0,M,H,PARK/PLAYGROUND,"(33.9483, -118.2827)",7,11,2015,33.9483,-118.2827,2015-07-11,25.4
145186,1168099,07/15/2015,237,Southeast,1801,ARSON,21.0,F,H,"VEHICLE, PASSENGER/TRUCK","(33.9551, -118.2869)",7,15,2015,33.9551,-118.2869,2015-07-15,27.5
145400,1168357,07/24/2015,20,Southeast,1823,KIDNAPPING,19.0,F,B,STREET,"(33.9438, -118.2695)",7,24,2015,33.9438,-118.2695,2015-07-24,29.9
145401,1168358,07/24/2015,500,Southeast,1802,KIDNAPPING,26.0,F,B,RESTAURANT/FAST FOOD,"(33.956, -118.2772)",7,24,2015,33.956,-118.2772,2015-07-24,30.9
145773,1168799,08/06/2015,1700,Southeast,1862,KIDNAPPING,23.0,F,B,STREET,"(33.9304, -118.2713)",8,6,2015,33.9304,-118.2713,2015-08-06,30.1
145916,1168969,08/15/2015,2334,Southeast,1805,ARSON,29.0,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(33.9529, -118.2695)",8,15,2015,33.9529,-118.2695,2015-08-15,36.0
145944,1168999,08/12/2015,2100,Southeast,1823,ARSON,61.0,F,H,SINGLE FAMILY DWELLING,"(33.9502, -118.2717)",8,12,2015,33.9502,-118.2717,2015-08-12,33.4
146016,1169080,08/15/2015,2144,Southeast,1849,CRIMINAL HOMICIDE,34.0,M,B,STREET,"(33.9305, -118.2349)",8,15,2015,33.9305,-118.2349,2015-08-15,35.2
146146,1169234,08/20/2015,1835,Southeast,1849,THROWING OBJECT AT MOVING VEHICLE,44.0,M,H,STREET,"(33.9304, -118.2306)",8,20,2015,33.9304,-118.2306,2015-08-20,27.2
146215,1169315,08/22/2015,2300,Southeast,1849,PICKPOCKET,70.0,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(33.9346, -118.2317)",8,22,2015,33.9346,-118.2317,2015-08-22,27.6
146312,1169432,08/26/2015,1210,Southeast,1822,CRIMINAL HOMICIDE,40.0,M,B,STREET,"(33.9456, -118.2739)",8,26,2015,33.9456,-118.2739,2015-08-26,31.1
146313,1169433,08/26/2015,1210,Southeast,1822,CRIMINAL HOMICIDE,46.0,M,B,STREET,"(33.9456, -118.2739)",8,26,2015,33.9456,-118.2739,2015-08-26,31.1
146321,1169445,08/26/2015,2350,Southeast,1821,CRIMINAL HOMICIDE,57.0,M,B,SIDEWALK,"(33.951, -118.2827)",8,26,2015,33.951,-118.2827,2015-08-26,32.5
146408,1169542,08/29/2015,1830,Southeast,1862,THROWING OBJECT AT MOVING VEHICLE,47.0,M,H,STREET,"(33.9237, -118.2739)",8,29,2015,33.9237,-118.2739,2015-08-29,33.1
146548,1169698,09/04/2015,305,Southeast,1824,CRIMINAL HOMICIDE,27.0,M,B,STREET,"(33.9518, -118.2554)",9,4,2015,33.9518,-118.2554,2015-09-04,26.2
146894,1170097,09/17/2015,2320,Southeast,1826,KIDNAPPING,21.0,M,H,SINGLE FAMILY DWELLING,"(33.9474, -118.2445)",9,17,2015,33.9474,-118.2445,2015-09-17,25.4
146935,1170141,09/19/2015,320,Southeast,1863,ARSON,50.0,F,B,PARKING LOT,"(33.9237, -118.2681)",9,19,2015,33.9237,-118.2681,2015-09-19,31.3
147087,1170311,09/24/2015,245,Southeast,1802,KIDNAPPING,24.0,F,B,STREET,"(33.9601, -118.2827)",9,24,2015,33.9601,-118.2827,2015-09-24,33.9
147116,1170346,09/24/2015,2330,Southeast,1862,ARSON,37.0,M,H,SAVINGS & LOAN,"(33.9292, -118.2739)",9,24,2015,33.9292,-118.2739,2015-09-24,32.1
147181,1170421,09/27/2015,1100,Southeast,1846,CRIMINAL HOMICIDE,39.0,M,B,YARD (RESIDENTIAL/BUSINESS),"(33.9323, -118.2502)",9,27,2015,33.9323,-118.2502,2015-09-27,31.7
147184,1170424,09/27/2015,1420,Southeast,1838,CRIMINAL HOMICIDE,16.0,M,B,SIDEWALK,"(33.9431, -118.2391)",9,27,2015,33.9431,-118.2391,2015-09-27,32.3
147254,1170498,09/28/2015,2230,Southeast,1827,THROWING OBJECT AT MOVING VEHICLE,19.0,M,H,STREET,"(33.9482, -118.2408)",9,28,2015,33.9482,-118.2408,2015-09-28,31.1
147360,1170619,10/02/2015,2200,Southeast,1829,ARSON,46.0,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(33.9449, -118.2355)",10,2,2015,33.9449,-118.2355,2015-10-02,28.3
147387,1170650,10/04/2015,50,Southeast,1821,CRIMINAL HOMICIDE,21.0,M,B,SIDEWALK,"(33.9492, -118.2827)",10,4,2015,33.9492,-118.2827,2015-10-04,21.3
147743,1171061,10/19/2015,1735,Southeast,1822,CRIMINAL HOMICIDE,42.0,F,B,SINGLE FAMILY DWELLING,"(33.9519, -118.2739)",10,19,2015,33.9519,-118.2739,2015-10-19,23.3
147795,1171133,10/21/2015,2000,Southeast,1844,ARSON,30.0,F,B,SINGLE FAMILY DWELLING,"(33.9345, -118.2623)",10,21,2015,33.9345,-118.2623,2015-10-21,26.8
147919,1171287,10/27/2015,445,Southeast,1844,ARSON,44.0,F,B,"VEHICLE, PASSENGER/TRUCK","(33.9345, -118.2623)",10,27,2015,33.9345,-118.2623,2015-10-27,27.9
147948,1171325,10/27/2015,47,Southeast,1844,ARSON,44.0,F,B,PARKING LOT,"(33.9345, -118.2623)",10,27,2015,33.9345,-118.2623,2015-10-27,27.9
147997,1171378,10/24/2015,1500,Southeast,1826,PICKPOCKET,36.0,F,B,STREET,"(33.9481, -118.2462)",10,24,2015,33.9481,-118.2462,2015-10-24,30.8
148297,1171731,11/12/2015,620,Southeast,1826,CRIMINAL HOMICIDE,49.0,M,H,STREET,"(33.9534, -118.2475)",11,12,2015,33.9534,-118.2475,2015-11-12,24.7
148330,1171767,11/13/2015,2335,Southeast,1802,CRIMINAL HOMICIDE,21.0,M,H,SIDEWALK,"(33.9587, -118.2782)",11,13,2015,33.9587,-118.2782,2015-11-13,26.0
148440,1171891,11/18/2015,1923,Southeast,1824,CRIMINAL HOMICIDE,20.0,F,B,SIDEWALK,"(33.9483, -118.2652)",11,18,2015,33.9483,-118.2652,2015-11-18,24.0
148452,1171904,11/18/2015,2350,Southeast,1804,CRIMINAL HOMICIDE,22.0,M,B,SIDEWALK,"(33.9574, -118.2564)",11,18,2015,33.9574,-118.2564,2015-11-18,25.2
148525,1171994,11/22/2015,1125,Southeast,1804,ARSON,64.0,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(33.9602, -118.261)",11,22,2015,33.9602,-118.261,2015-11-22,29.1
148607,1172094,11/25/2015,800,Southeast,1842,PICKPOCKET,18.0,F,H,SIDEWALK,"(33.9347, -118.2761)",11,25,2015,33.9347,-118.2761,2015-11-25,16.1
148637,1172131,11/27/2015,2142,Southeast,1846,CRIMINAL HOMICIDE,24.0,M,B,YARD (RESIDENTIAL/BUSINESS),"(33.9331, -118.2511)",11,27,2015,33.9331,-118.2511,2015-11-27,16.7
148652,1172146,11/28/2015,2130,Southeast,1863,KIDNAPPING,33.0,M,H,SIDEWALK,"(33.9265, -118.2652)",11,28,2015,33.9265,-118.2652,2015-11-28,17.1
148787,1172308,12/04/2015,2110,Southeast,1801,CRIMINAL HOMICIDE,18.0,M,B,DRIVEWAY,"(33.9528, -118.2869)",12,4,2015,33.9528,-118.2869,2015-12-04,18.7
148793,1172316,12/04/2015,2100,Southeast,1821,ARSON,29.0,M,H,SINGLE FAMILY DWELLING,"(33.9456, -118.2826)",12,4,2015,33.9456,-118.2826,2015-12-04,18.4
148928,1172476,12/12/2015,1700,Southeast,1846,CRIMINAL HOMICIDE,66.0,M,B,SIDEWALK,"(33.9323, -118.2502)",12,12,2015,33.9323,-118.2502,2015-12-12,19.6
149149,1172761,12/21/2015,20,Southeast,1831,KIDNAPPING,21.0,F,B,"VEHICLE, PASSENGER/TRUCK","(33.918, -118.287)",12,21,2015,33.918,-118.287,2015-12-21,15.5
149215,1172840,12/23/2015,1815,Southeast,1862,THROWING OBJECT AT MOVING VEHICLE,56.0,M,B,STREET,"(33.9237, -118.2739)",12,23,2015,33.9237,-118.2739,2015-12-23,18.0
149400,1173075,01/15/2015,920,Mission,1917,CRIMINAL HOMICIDE,19.0,M,B,SINGLE FAMILY DWELLING,"(34.312, -118.4383)",1,15,2015,34.312,-118.4383,2015-01-15,19.8
149406,1173082,01/22/2015,2145,Mission,1971,CRIMINAL HOMICIDE,24.0,M,H,PARKING LOT,"(34.2337, -118.4703)",1,22,2015,34.2337,-118.4703,2015-01-22,22.7
149528,1173242,09/06/2015,115,Mission,1985,KIDNAPPING,43.0,F,O,PARKING LOT,"(34.2248, -118.4488)",9,6,2015,34.2248,-118.4488,2015-09-06,33.0
149666,1173405,01/04/2015,2100,Mission,1988,KIDNAPPING,26.0,M,H,SINGLE FAMILY DWELLING,"(34.2294, -118.423)",1,4,2015,34.2294,-118.423,2015-01-04,19.2
149667,1173406,01/05/2015,1500,Mission,1993,ARSON,51.0,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.2215, -118.4618)",1,5,2015,34.2215,-118.4618,2015-01-05,23.6
149693,1173433,01/07/2015,30,Mission,1972,ARSON,30.0,F,H,STREET,"(34.2319, -118.4654)",1,7,2015,34.2319,-118.4654,2015-01-07,27.0
149853,1173643,01/17/2015,1320,Mission,1906,ARSON,31.0,F,W,SINGLE FAMILY DWELLING,"(34.3189, -118.424)",1,17,2015,34.3189,-118.424,2015-01-17,22.8
150848,1174887,03/10/2015,1440,Mission,1983,THROWING OBJECT AT MOVING VEHICLE,41.0,M,H,STREET,"(34.2247, -118.4677)",3,10,2015,34.2247,-118.4677,2015-03-10,27.6
151085,1175177,03/20/2015,1440,Mission,1934,THROWING OBJECT AT MOVING VEHICLE,26.0,F,W,STREET,"(34.2747, -118.4696)",3,20,2015,34.2747,-118.4696,2015-03-20,27.5
151996,1176276,04/30/2015,2010,Mission,1984,KIDNAPPING,34.0,F,H,PARKING LOT,"(34.2265, -118.4565)",4,30,2015,34.2265,-118.4565,2015-04-30,32.5
152062,1176369,05/02/2015,100,Mission,1981,CRIMINAL HOMICIDE,48.0,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.2267, -118.4704)",5,2,2015,34.2267,-118.4704,2015-05-02,30.5
152203,1176536,05/09/2015,2330,Mission,1962,CRIMINAL HOMICIDE,39.0,M,H,SIDEWALK,"(34.2355, -118.4676)",5,9,2015,34.2355,-118.4676,2015-05-09,18.6
152263,1176615,05/13/2015,1630,Mission,1962,ARSON,14.0,M,O,JUNIOR HIGH SCHOOL,"(34.2428, -118.4653)",5,13,2015,34.2428,-118.4653,2015-05-13,20.0
152309,1176675,05/15/2015,2300,Mission,1984,KIDNAPPING,24.0,F,H,SINGLE FAMILY DWELLING,"(34.2231, -118.4553)",5,15,2015,34.2231,-118.4553,2015-05-15,17.9
152530,1176941,05/25/2015,2250,Mission,1964,CRIMINAL HOMICIDE,40.0,M,H,SIDEWALK,"(34.2389, -118.4536)",5,25,2015,34.2389,-118.4536,2015-05-25,21.7
152741,1177195,06/05/2015,605,Mission,1962,ARSON,44.0,M,H,JUNIOR HIGH SCHOOL,"(34.2428, -118.4653)",6,5,2015,34.2428,-118.4653,2015-06-05,23.4
152744,1177198,06/05/2015,925,Mission,1905,CRIMINAL HOMICIDE,57.0,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.3155, -118.4343)",6,5,2015,34.3155,-118.4343,2015-06-05,23.7
152872,1177346,06/10/2015,1450,Mission,1966,ARSON,68.0,M,O,PARKING LOT,"(34.2354, -118.4502)",6,10,2015,34.2354,-118.4502,2015-06-10,24.9
152986,1177499,06/16/2015,150,Mission,1902,ARSON,56.0,F,H,DRIVEWAY,"(34.3163, -118.4558)",6,16,2015,34.3163,-118.4558,2015-06-16,31.7
153095,1177635,06/19/2015,400,Mission,1945,KIDNAPPING,19.0,F,O,SINGLE FAMILY DWELLING,"(34.2645, -118.4534)",6,19,2015,34.2645,-118.4534,2015-06-19,33.3
153477,1178109,07/07/2015,1930,Mission,1913,CRIMINAL HOMICIDE,28.0,M,H,SIDEWALK,"(34.3095, -118.4672)",7,7,2015,34.3095,-118.4672,2015-07-07,27.6
153487,1178120,07/06/2015,1029,Mission,1909,CRIMINAL HOMICIDE,53.0,M,W,SINGLE FAMILY DWELLING,"(34.3185, -118.4008)",7,6,2015,34.3185,-118.4008,2015-07-06,28.7
153709,1178388,07/17/2015,335,Mission,1959,ARSON,23.0,F,H,"VEHICLE, PASSENGER/TRUCK","(34.2573, -118.4379)",7,17,2015,34.2573,-118.4379,2015-07-17,32.1
153730,1178414,07/18/2015,2330,Mission,1936,CRIMINAL HOMICIDE,57.0,M,H,STREET,"(34.2758, -118.4479)",7,18,2015,34.2758,-118.4479,2015-07-18,29.4
153999,1178761,07/30/2015,1000,Mission,1981,PICKPOCKET,10.0,F,H,SIDEWALK,"(34.2283, -118.4677)",7,30,2015,34.2283,-118.4677,2015-07-30,34.3
154385,1179259,08/16/2015,2222,Mission,1999,ARSON,45.0,F,H,STREET,"(34.2091, -118.4267)",8,16,2015,34.2091,-118.4267,2015-08-16,38.3
154455,1179351,08/19/2015,2125,Mission,1918,CRIMINAL HOMICIDE,65.0,M,H,PARKING LOT,"(34.3086, -118.4317)",8,19,2015,34.3086,-118.4317,2015-08-19,29.6
154483,1179382,08/21/2015,454,Mission,1991,CRIMINAL HOMICIDE,24.0,M,H,STREET,"(34.2159, -118.4673)",8,21,2015,34.2159,-118.4673,2015-08-21,27.7
154617,1179536,08/25/2015,2050,Mission,1983,PICKPOCKET,52.0,M,H,STREET,"(34.2231, -118.4677)",8,25,2015,34.2231,-118.4677,2015-08-25,31.9
154717,1179656,08/30/2015,2315,Mission,1977,CRIMINAL HOMICIDE,41.0,M,H,STREET,"(34.228, -118.4344)",8,30,2015,34.228,-118.4344,2015-08-30,33.4
154905,1179870,09/06/2015,2200,Mission,1988,ARSON,31.0,M,W,SINGLE FAMILY DWELLING,"(34.226, -118.4228)",9,6,2015,34.226,-118.4228,2015-09-06,32.9
155078,1180064,08/13/2015,1200,Mission,1972,KIDNAPPING,16.0,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.2337, -118.4632)",8,13,2015,34.2337,-118.4632,2015-08-13,37.8
155214,1180223,09/19/2015,230,Mission,1961,KIDNAPPING,21.0,F,O,STREET,"(34.2427, -118.4702)",9,19,2015,34.2427,-118.4702,2015-09-19,34.5
155550,1180600,10/01/2015,800,Mission,1983,CRIMINAL HOMICIDE,32.0,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.2247, -118.4655)",10,1,2015,34.2247,-118.4655,2015-10-01,30.0
155618,1180680,10/04/2015,2300,Mission,1993,CRIMINAL HOMICIDE,20.0,M,B,SIDEWALK,"(34.2196, -118.4618)",10,4,2015,34.2196,-118.4618,2015-10-04,20.2
155854,1180959,10/15/2015,45,Mission,1921,KIDNAPPING,14.0,F,B,PARKING LOT,"(34.3023, -118.4769)",10,15,2015,34.3023,-118.4769,2015-10-15,26.1
156417,1181660,11/05/2015,2309,Mission,1919,CRIMINAL HOMICIDE,26.0,M,H,STREET,"(34.2945, -118.4091)",11,5,2015,34.2945,-118.4091,2015-11-05,19.9
156429,1181675,11/06/2015,1745,Mission,1994,CRIMINAL HOMICIDE,39.0,M,H,PARKING LOT,"(34.2147, -118.4565)",11,6,2015,34.2147,-118.4565,2015-11-06,24.1
156437,1181684,11/07/2015,315,Mission,1964,ARSON,37.0,M,H,"VEHICLE, PASSENGER/TRUCK","(34.2389, -118.4536)",11,7,2015,34.2389,-118.4536,2015-11-07,25.4
156590,1181872,11/13/2015,2110,Mission,1984,KIDNAPPING,22.0,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.2265, -118.4565)",11,13,2015,34.2265,-118.4565,2015-11-13,26.5
156935,1182311,11/29/2015,830,Mission,1979,ARSON,66.0,M,H,SINGLE FAMILY DWELLING,"(34.2354, -118.4178)",11,29,2015,34.2354,-118.4178,2015-11-29,17.6
156950,1182330,11/29/2015,1230,Mission,1974,KIDNAPPING,35.0,F,H,PARKING LOT,"(34.2354, -118.4502)",11,29,2015,34.2354,-118.4502,2015-11-29,17.6
157289,1182738,12/14/2015,1900,Mission,1961,KIDNAPPING,27.0,F,H,OTHER BUSINESS,"(34.2427, -118.4702)",12,14,2015,34.2427,-118.4702,2015-12-14,13.2
157394,1182865,12/18/2015,2315,Mission,1945,ARSON,44.0,M,H,SINGLE FAMILY DWELLING,"(34.2655, -118.4461)",12,18,2015,34.2655,-118.4461,2015-12-18,20.5
157578,1183094,12/27/2015,2350,Mission,1985,THROWING OBJECT AT MOVING VEHICLE,45.0,F,H,STREET,"(34.2247, -118.4516)",12,27,2015,34.2247,-118.4516,2015-12-27,14.4
157661,1183197,12/30/2015,1921,Mission,1963,CRIMINAL HOMICIDE,37.0,M,H,STREET,"(34.2427, -118.4502)",12,30,2015,34.2427,-118.4502,2015-12-30,15.2
158570,1184321,02/08/2015,1750,Olympic,2083,CRIMINAL HOMICIDE,45.0,F,H,SINGLE FAMILY DWELLING,"(34.0418, -118.3071)",2,8,2015,34.0418,-118.3071,2015-02-08,23.9
158571,1184323,02/09/2015,5,Olympic,2011,KIDNAPPING,41.0,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0712, -118.3104)",2,9,2015,34.0712,-118.3104,2015-02-09,23.8
158576,1184331,02/09/2015,130,Olympic,2005,ARSON,52.0,F,H,"VEHICLE, PASSENGER/TRUCK","(34.0799, -118.3017)",2,9,2015,34.0799,-118.3017,2015-02-09,23.6
158947,1184777,02/28/2015,900,Olympic,2021,CRIMINAL HOMICIDE,41.0,F,B,BUS STOP,"(34.0653, -118.3183)",2,28,2015,34.0653,-118.3183,2015-02-28,16.5
158976,1184813,03/02/2015,1615,Olympic,2056,THROWING OBJECT AT MOVING VEHICLE,33.0,F,H,STREET,"(34.0509, -118.2916)",3,2,2015,34.0509,-118.2916,2015-03-02,14.9
159271,1185172,03/31/2015,1000,Olympic,2011,THROWING OBJECT AT MOVING VEHICLE,26.0,F,W,STREET,"(34.0731, -118.3136)",3,31,2015,34.0731,-118.3136,2015-03-31,25.6
159285,1185188,05/06/2015,1300,Olympic,2005,PICKPOCKET,57.0,M,K,MARKET,"(34.0763, -118.3035)",5,6,2015,34.0763,-118.3035,2015-05-06,19.6
159534,1185513,04/03/2015,1430,Olympic,2024,PICKPOCKET,49.0,F,H,STREET,"(34.0617, -118.3078)",4,3,2015,34.0617,-118.3078,2015-04-03,30.4
159545,1185524,04/04/2015,1400,Olympic,2074,ARSON,35.0,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","(34.0422, -118.3053)",4,4,2015,34.0422,-118.3053,2015-04-04,27.1
